Date,week,Forward/Back,Position Specific,Name,dist_total,msr_total,hsr_total,percentVmax
2017-10-23,Wk 17,Backs,Scrum Half,04fa3,3596.0329599999995,1133.0400000000002,48.37,0.7491375061606703
2017-10-24,Wk 17,Backs,Scrum Half,04fa3,5076.14381,1267.01001,122.03,0.8170417830348831
2017-10-26,Wk 17,Backs,Scrum Half,04fa3,4402.01686,1067.29,94.80000000000001,0.9112315864410493
2017-10-28,Wk 17,Backs,Scrum Half,04fa3,5253.33032,1488.6599800000001,141.91,0.8455177701111659
2017-11-14,Wk 20,Backs,Scrum Half,04fa3,1417.91211,405.53000000000003,191.66,0.7666611905153059
2017-11-17,Wk 20,Backs,Scrum Half,04fa3,3835.08603,1110.72001,102.23,0.833470237117354
2017-11-20,Wk 21,Backs,Scrum Half,04fa3,1099.18408,121.21000000000001,212.53,0.9758501724987679
2017-11-21,Wk 21,Backs,Scrum Half,04fa3,1738.25708,383.78999999999996,521.46001,0.80937517112973
2017-11-23,Wk 21,Backs,Scrum Half,04fa3,4159.50289,1153.54,83.97,0.9024697442637315
2017-11-24,Wk 21,Backs,Scrum Half,04fa3,2331.63619,391.12,23.259999999999998,0.8389463884781776
2017-11-27,Wk 22,Backs,Scrum Half,04fa3,4459.0062,1096.95,34.31,0.7787087235091179
2017-12-01,Wk 22,Backs,Scrum Half,04fa3,2219.37451,843.1999900000001,57.38,0.7666611905153059
2017-12-04,Wk 23,Backs,Scrum Half,04fa3,345.97601,36.14,0,0.47313947757516023
2017-12-05,Wk 23,Backs,Scrum Half,04fa3,2943.0473700000002,723.3299999999999,287.29001,0.8236131646678714
2017-12-07,Wk 23,Backs,Scrum Half,04fa3,4848.79129,1587.71001,342.6700000000001,0.8181370133070478
2017-12-08,Wk 23,Backs,Scrum Half,04fa3,3191.6007,800.72,18.53,0.7633754996988117
2017-12-14,Wk 24,Backs,Scrum Half,04fa3,5997.41592,1691.71001,337.94999,0.939707573517332
2017-12-15,Wk 24,Backs,Scrum Half,04fa3,4737.66882,1436.5700000000002,104.03999999999999,0.8247083949400362
2017-12-18,Wk 25,Backs,Scrum Half,04fa3,2168.97119,252.02,427.26,0.979135863315262
2017-12-19,Wk 25,Backs,Scrum Half,04fa3,5541.34736,1481.86001,201.1,0.8783746782761075
2017-12-27,Wk 26,Backs,Scrum Half,04fa3,4496.63925,1247.39,116.66,0.8630414544658015
2018-01-01,Wk 27,Backs,Scrum Half,04fa3,6266.2602,2034.8199899999997,414.53,0.9440884946059909
2018-01-02,Wk 27,Backs,Scrum Half,04fa3,3178.12174,1013.6999900000001,397.71000000000004,0.939707573517332
2018-01-04,Wk 27,Backs,Scrum Half,04fa3,4277.47405,846,68.87,0.7995180986802476
2018-01-05,Wk 27,Backs,Scrum Half,04fa3,4396.44156,1140.07,97.36,0.8498986911998248
2018-01-08,Wk 28,Backs,Scrum Half,04fa3,4494.4308,1251.9800000000002,138.73,0.880565138820437
2018-01-13,Wk 28,Backs,Scrum Half,04fa3,969.39502,225.45000000000002,0,0.6560429330266689
2018-01-15,WK 29,Backs,Scrum Half,04fa3,1825.23767,630.46,53.55,0.7710421116039647
2018-01-17,WK 29,Backs,Scrum Half,04fa3,2336.74512,588.8199999999999,218.54,0.860850993921472
2018-01-18,WK 29,Backs,Scrum Half,04fa3,3103.77973,1151.05999,327.29999999999995,0.7611850391544823
2018-01-19,WK 29,Backs,Scrum Half,04fa3,4094.14717,1272.01,46.2,0.7951371775915886
2018-01-22,Wk 30,Backs,Scrum Half,04fa3,3058.22168,1377.42996,433.05998999999997,0.7852801051421061
2018-01-23,Wk 30,Backs,Scrum Half,04fa3,3853.65429,946.02,92.43,0.7830896445977767
2018-01-25,Wk 30,Backs,Scrum Half,04fa3,5102.580550000001,1605.21,236.04,0.9178029680740377
2018-01-26,Wk 30,Backs,Scrum Half,04fa3,2922.68818,826.5999999999999,577.61,0.9440884946059909
2018-01-29,Wk 31,Backs,Scrum Half,04fa3,4330.71838,1108.8,224.31,0.9703740211379442
2018-01-30,Wk 31,Backs,Scrum Half,04fa3,3947.48048,1339.4,133.21,0.8630414544658015
2018-02-01,Wk 31,Backs,Scrum Half,04fa3,4803.74388,1467.81999,406.04000999999994,0.7940419473194239
2018-02-05,Wk 32,Backs,Scrum Half,04fa3,4847.38878,1896.95,203.53001,0.8038990197689064
2018-02-06,Wk 32,Backs,Scrum Half,04fa3,4834.45479,1248.13,218.64999999999998,0.907945895624555
2018-02-08,Wk 32,Backs,Scrum Half,04fa3,2501.28475,462.58,115.03,0.8838508296369312
2018-02-12,Wk 33,Backs,Scrum Half,04fa3,3640.6674,1177.11,164.37,0.8312797765730245
2018-02-13,Wk 33,Backs,Scrum Half,04fa3,4816.70424,1483.36,45.67,0.8203274738513773
2018-02-15,Wk 33,Backs,Scrum Half,04fa3,4788.01613,1361.12,92.92,0.7984228684080829
2018-02-17,Wk 33,Backs,Scrum Half,04fa3,7657.26173,2637.24002,253.29000000000002,0.8958983626307431
2018-02-20,Wk 34,Backs,Scrum Half,04fa3,4020.9942100000003,1171.77,59.669999999999995,0.8060894803132359
